pk,ispb,code,name
1,0,1,Banco do Brasil S.A.
2,4902979,3,BANCO DA AMAZONIA S.A.
3,7237373,4,Banco do Nordeste do Brasil S.A.
4,33657248,7,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL
5,81723108,10,CREDICOAMO CREDITO RURAL COOPERATIVA
6,61809182,11,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A
7,4866275,12,Banco Inbursa S.A.
8,9274232,14,STATE STREET BRASIL S.A. - BANCO COMERCIAL
9,2819125,15,"UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.              "
10,4715685,16,COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RI
11,42272526,17,BNY Mellon Banco S.A.
12,57839805,18,Banco Tricury S.A.
13,28127603,21,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO
14,10866788,24,Banco Bandepe S.A.
15,3323840,25,Banco Alfa S.A.
16,33885724,29,Banco Itaú Consignado S.A.
17,90400888,33,BANCO SANTANDER (BRASIL) S.A.
18,6271464,36,Banco Bradesco BBI S.A.
19,4913711,37,Banco do Estado do Pará S.A.
20,3609817,40,Banco Cargill S.A.
21,92702067,41,Banco do Estado do Rio Grande do Sul S.A.
22,13009717,47,Banco do Estado de Sergipe S.A.
23,4913129,60,Confidence Corretora de Câmbio S.A.
24,3012230,62,Hipercard Banco Múltiplo S.A.
25,4184779,63,Banco Bradescard S.A.
26,4332281,64,GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.
27,48795256,65,Banco AndBank (Brasil) S.A.
28,2801938,66,BANCO MORGAN STANLEY S.A.
29,61033106,69,Banco Crefisa S.A.
30,208,70,BRB - BANCO DE BRASILIA S.A.
31,3017677,74,Banco J. Safra S.A.
32,3532415,75,Banco ABN Amro S.A.
33,7656500,76,Banco KDB do Brasil S.A.
34,416968,77,Banco Inter S.A.
35,34111187,78,Haitong Banco de Investimento do Brasil S.A.
36,9516419,79,Banco Original do Agronegócio S.A.
37,73622748,80,B&T CORRETORA DE CAMBIO LTDA.
